checkout,2015-02-11T15:01:00+00:00
checkout,2015-02-11T15:01:00+00:00
checkout,2015-02-11T15:01:00+00:00
checkout,2015-02-11T15:01:00+00:00
checkout,2015-02-11T15:01:00+00:00
checkout,2015-02-11T15:01:00+00:00
checkout,2015-02-11T15:01:00+00:00
checkout,2015-02-11T15:01:00+00:00
checkout,2015-02-11T15:01:00+00:00
checkout,2015-02-11T15:01:00+00:00
checkout,2015-02-11T15:01:00+00:00
cartRemoval,2015-02-11T15:01:00+00:00
checkout,2015-02-11T15:01:00+00:00
checkout,2015-02-11T15:01:00+00:00
checkout,2015-02-11T15:01:00+00:00
checkout,2015-02-11T15:01:00+00:00
checkout,2015-02-11T15:01:00+00:00
checkout,2015-02-11T15:01:00+00:00
checkout,2015-02-11T15:01:00+00:00
